,0,1
0,한겨레,0.03149285
1,민노총,0.029200364
2,자유,0.02051634
3,좌파,0.019040568
4,재앙,0.016492564
5,민주주의,0.012019141
6,답,0.011572695
7,정신,0.0113035785
8,윤,0.010873412
9,뉴스,0.0100505045
10,언론사,0.009863772
11,대한민국,0.009481184
12,공산주의,0.009317981
13,방송사,0.008706993
14,북한,0.008478138
15,기능,0.007596644
16,경제,0.0068634283
17,국민,0.006674413
18,나라,0.0059373784
19,지난,0.005923486
20,잡고,0.0058369045
21,후,0.005822294
22,자,0.0055832523
23,정권,0.0055602277
24,겨,0.005499949
25,방송,0.005476843
26,조작,0.0053262785
27,전담,0.005285709
28,위,0.005143076
29,조선일보,0.0050267032
30,실수,0.004987264
31,카드,0.0049583646
32,교도소,0.004937799
33,조국,0.004850379
34,이번,0.0046453774
35,꼬,0.004221076
36,요즘,0.004216221
37,간첩,0.0041699633
38,과정,0.0041490886
39,사형,0.0040318
40,직원,0.0039601475
41,수준,0.003860157
42,꼴,0.0037815694
43,뒤,0.0037514593
44,라지,0.0037334296
45,세상,0.0036683837
46,땜,0.0036285992
47,누가,0.0035444358
48,연봉,0.0035082893
49,범죄,0.0034752688
50,다음,0.0034200011
51,현실,0.003415702
52,하나,0.0033917094
53,굥,0.0033012882
54,너클,0.0032810841
55,라면,0.0032689513
56,로,0.0032176252
57,재판,0.003177163
58,현장,0.0031653745
59,문죄인,0.0030944704
60,옹호,0.0030486376
61,쥐,0.0030424949
62,부패,0.0030267972
63,특기,0.0030116204
64,가짜,0.0029588442
65,등,0.0029472506
66,주장,0.00292936
67,선관위,0.0029255191
68,조기,0.0029222982
69,최소한,0.0029174532
70,말,0.002907014
71,국가,0.0028605836
72,일,0.0028544427
73,그냥,0.0028189896
74,대통령,0.0028106633
75,해대,0.0027989997
76,고액,0.002797941
77,병자,0.0027969761
78,사적,0.00278662
79,입법부,0.002767912
80,제대로,0.0027404989
81,소행,0.0026881043
82,행정부,0.0026848358
83,유지,0.0026815967
84,인물,0.0026723058
85,인터뷰,0.002651411
86,미국,0.0026423184
87,식,0.002608145
88,이미지,0.002582
89,제로,0.002568814
90,출동,0.0025648125
91,미온,0.0025156338
92,인맥,0.0025150096
93,사용,0.002513874
94,역활,0.0024974535
95,짜장면,0.0024692188
96,악마,0.002458157
97,및,0.0024383254
98,언론,0.00243489
99,출연,0.0024212275
100,작살,0.0024084689
101,사살,0.002334186
102,장난,0.0023076716
103,국회,0.00226733
104,아주,0.0022539643
105,각,0.0022166579
106,바로,0.002167123
107,우리,0.0021361897
108,정부,0.0021060798
109,살해,0.0020741844
110,집단,0.0020681648
111,데,0.002048828
112,만,0.002041188
113,방통위,0.0019943502
114,인도,0.0019712287
115,책임,0.0019379889
116,서울,0.0019285999
117,고통,0.0019144322
118,법,0.0018987637
119,선동,0.0018370035
120,처벌,0.0018149702
121,신림,0.0017734228
122,계획,0.0017645208
123,개인,0.0017378173
124,격리,0.0017071158
125,전교조,0.0016787717
126,감히,0.0016630755
127,자기,0.0016528668
128,정치,0.0016484099
129,권력,0.0016171731
130,인간,0.0016053392
131,뿐,0.0015929071
132,촉법,0.0015797308
133,이유,0.0015758626
134,감방,0.0015676499
135,사회,0.0015217094
136,위해,0.0015030983
137,자체,0.0014276874
138,정신질환,0.0014158994
139,라이,0.0013746321
140,진실,0.0013271793
141,조선,0.0012898839
142,포기,0.0012862885
143,시민,0.0012632982
144,불,0.0012609744
145,페미,0.0012599586
146,술,0.0012483067
147,입,0.0012474128
148,질환,0.0012434421
149,외교,0.0012433867
150,치료,0.0012153354
151,이하,0.0012074471
152,흉,0.0011725355
153,인권,0.001163965
154,한국,0.0011472066
155,대해,0.001141705
156,문제,0.00111331
157,전국,0.001108979
158,끼,0.0010918265
159,죄,0.0010869445
160,준,0.0010700027
161,이제,0.00106911
162,기도,0.0010477968
163,반복,0.0010314081
164,적극,0.001031203
165,얼마나,0.0010305325
166,부모,0.001019965
167,조두순,0.0010183023
168,길거리,0.0010134379
169,한편,0.0010100559
170,범죄자,0.001009833
171,줄,0.0010056363
172,신고,0.0010022278
173,은,0.0010004273
174,살길,0.0009987588
175,촉법소년,0.0009835366
176,감정,0.00097512646
177,저런,0.0009736296
178,이건,0.0009733389
179,다수,0.00096447946
180,하자,0.00096154364
181,인권위,0.0009586379
182,사후,0.0009483055
183,거리,0.000935246
184,거짓말,0.00090637186
185,탈,0.0009035754
186,전문,0.00089832814
187,퇴,0.00089748215
188,형,0.00089267344
189,우리나라,0.00089180894
190,경향,0.00088940747
191,전부,0.0008854533
192,학교,0.0008811868
193,일반,0.00088020856
194,정치인,0.00087856146
195,쓰레기,0.00087633944
196,죽,0.0008626545
197,미래,0.000858124
198,흉기,0.0008463021
199,판사,0.0008403824
200,폐지,0.00084017037
201,평생,0.00083992915
202,의무,0.00083834934
203,불가,0.00083593174
204,이동관,0.0008355304
205,반성,0.00083438266
206,정상,0.00083151093
207,국,0.0008295288
208,대학,0.00082772796
209,집행,0.00082771754
210,기관,0.0008257359
211,이기,0.0008245998
212,조만간,0.0008233485
213,이나라,0.00082074234
214,흉악,0.0008190614
215,벌,0.00081800204
216,어차피,0.00081058824
217,가장,0.00080046884
218,지금,0.00079899305
219,모양,0.0007870644
220,감형,0.0007860779
221,정신병,0.0007804474
222,세,0.0007794341
223,정신병원,0.0007761821
224,쟤,0.0007711481
225,혼자,0.0007699473
226,도생,0.0007691459
227,이군,0.00076687266
228,진창,0.0007665109
229,온나라,0.0007639914
230,의도,0.00075909146
231,정리,0.0007491107
232,각자,0.00074832473
233,국회의원,0.00074241357
234,인정,0.0007413158
235,낯짝,0.0007376213
236,판결,0.0007344132
237,민족,0.0007284022
238,가족,0.0007245432
239,쪽,0.0007212072
240,개판,0.0007159947
241,순찰,0.00071497576
242,머리,0.00070830813
243,경찰,0.0007041172
244,자꾸,0.0007028576
245,법원,0.0006961713
246,동의,0.0006887577
247,지옥,0.0006833731
248,패,0.00067380915
249,척,0.00067368866
250,입원,0.00067196286
251,합리,0.0006717471
252,생각,0.00066589896
253,타령,0.00066544104
254,후보자,0.0006653801
255,공작,0.0006642933
256,변명,0.00066123996
257,비용,0.00065987615
258,축,0.0006572398
259,무정부상태,0.00065714127
260,교육,0.0006570832
261,버릇,0.0006570358
262,보상,0.00065701554
263,하든,0.0006569323
264,미약,0.0006543988
265,청구,0.0006461496
266,필요,0.0006405804
267,마비,0.000639606
268,속도,0.00063840416
269,감사,0.0006383816
270,단순,0.0006381542
271,대안,0.000636295
272,세금,0.0006359875
273,살인,0.0006338803
274,허위,0.0006325579
275,소지,0.00062443194
276,엉망,0.00061138306
277,다시,0.000605559
278,십년,0.0005989137
279,엄벌,0.0005987877
280,이재명,0.00059819856
281,전용,0.0005857592
282,아이,0.0005803086
283,과,0.0005797237
284,를,0.0005775648
285,주의,0.00057726057
286,중범죄,0.0005745972
287,협박,0.0005658377
288,범행,0.0005648278
289,함,0.0005589274
290,죽음,0.00055668293
291,심신,0.0005532887
292,망나니,0.0005449073
293,시선,0.0005448571
294,상대로,0.0005448481
295,백퍼,0.0005447817
296,토,0.00054474454
297,절반,0.0005446756
298,불구속,0.00054398505
299,삶,0.0005414635
300,해,0.000539791
301,남양주,0.00053570524
302,타겟,0.0005350664
303,시간,0.0005346946
304,사법부,0.00053344126
305,피해자,0.0005326215
306,래야,0.0005326085
307,돈,0.00053220696
308,범법,0.000531572
309,칼,0.0005304015
310,소탕,0.0005267446
311,선생,0.0005245682
312,낮,0.0005242809
313,동안,0.00052288215
314,상황,0.00051513314
315,혈세,0.0005118304
316,값,0.00050845154
317,소송,0.000508388
318,허가,0.00050495693
319,말단,0.00050448725
320,가해자,0.00049868354
321,심리,0.00048936973
322,조선족,0.0004860173
323,중,0.0004811951
324,초,0.0004788685
325,합법,0.0004728259
326,악질,0.00047105292
327,대고,0.00046674814
328,결과,0.00046302454
329,남탓,0.00046228705
330,반드시,0.00046214234
331,하니,0.00046026983
332,구속,0.00045244617
333,상공,0.00045243182
334,박아,0.00044922548
335,마음,0.00044760748
336,민변,0.00044454282
337,중국,0.00043875418
338,역시,0.00043839932
339,진짜,0.00043748628
340,금,0.0004311289
341,일베,0.00042508903
342,완용,0.00042450093
343,때문,0.0004244302
344,숭숭,0.0004243849
345,강간미수,0.0004243546
346,예견,0.00042418213
347,노조,0.00042408847
348,조씨,0.00042404377
349,어디가,0.00042397963
350,일리,0.00042382104
351,도리,0.00042338873
352,미성년,0.0004209886
353,들보,0.0004137898
354,중이,0.0004120051
355,쥴리,0.00041180724
356,사실,0.0004090068
357,난무,0.0004088803
358,검새,0.00040533868
359,방조,0.00040461845
